2025-02-21 13:18:57.007 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-21 13:18:57.036 [restartedMain] INFO  com.jaehua.todolist.TodolistApplication - Starting TodolistApplication using Java 23.0.2 with PID 21356 (D:\Project\java\todolist\target\classes started by 姜杰铧 in D:\Project\java\todolist)
2025-02-21 13:18:57.037 [restartedMain] DEBUG com.jaehua.todolist.TodolistApplication - Running with Spring Boot v3.2.3, Spring v6.1.4
2025-02-21 13:18:57.037 [restartedMain] INFO  com.jaehua.todolist.TodolistApplication - The following 1 profile is active: "dev"
2025-02-21 13:18:57.093 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-02-21 13:18:57.093 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-02-21 13:18:57.805 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-02-21 13:18:57.807 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-02-21 13:18:57.828 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2025-02-21 13:18:57.927 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'taskMapper' and 'com.jaehua.todolist.mapper.TaskMapper' mapperInterface. Bean already defined with the same name!
2025-02-21 13:18:57.928 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'com.jaehua.todolist.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2025-02-21 13:18:57.928 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.jaehua.todolist.mapper]' package. Please check your configuration.
2025-02-21 13:18:58.508 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-21 13:18:58.516 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-02-21 13:18:58.518 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-02-21 13:18:58.519 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-02-21 13:18:58.580 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-02-21 13:18:58.580 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1487 ms
2025-02-21 13:18:58.754 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
